Heap Size,Name,Observability,Concurrent Users,Message Size (Bytes),Sleep Time (ms),# Samples,Error Count,Error %,Average (ms),Min (ms),Max (ms),90th Percentile (ms),95th Percentile (ms),99th Percentile (ms),Throughput,Received (KB/sec),Sent (KB/sec),Ballerina GC Throughput (%),Ballerina Footprint (M),Ballerina Average of Footprint After Full GC (M),Ballerina Standard Deviation of Footprint After Full GC (M),Netty Service GC Throughput (%),Netty Service Footprint (M),Netty Service Average of Footprint After Full GC (M),Netty Service Standard Deviation of Footprint After Full GC (M),JMeter Client GC Throughput (%),JMeter Client Footprint (M),JMeter Client Average of Footprint After Full GC (M),JMeter Client Standard Deviation of Footprint After Full GC (M),JMeter Server 01 GC Throughput (%),JMeter Server 01 Footprint (M),JMeter Server 01 Average of Footprint After Full GC (M),JMeter Server 01 Standard Deviation of Footprint After Full GC (M),JMeter Server 02 GC Throughput (%),JMeter Server 02 Footprint (M),JMeter Server 02 Average of Footprint After Full GC (M),JMeter Server 02 Standard Deviation of Footprint After Full GC (M),Ballerina Load Average - Last 1 minute,Ballerina Load Average - Last 5 minutes,Ballerina Load Average - Last 15 minutes,Netty Service Load Average - Last 1 minute,Netty Service Load Average - Last 5 minutes,Netty Service Load Average - Last 15 minutes,JMeter Client Load Average - Last 1 minute,JMeter Client Load Average - Last 5 minutes,JMeter Client Load Average - Last 15 minutes,JMeter Server 01 Load Average - Last 1 minute,JMeter Server 01 Load Average - Last 5 minutes,JMeter Server 01 Load Average - Last 15 minutes,JMeter Server 02 Load Average - Last 1 minute,JMeter Server 02 Load Average - Last 5 minutes,JMeter Server 02 Load Average - Last 15 minutes
1G,passthrough.bal,default,100,50,0,14828857,0,0,5.981981551,0,298,12,19,39,16475.73891,2976.573924,3781.053363,99.51,1022.5,,,99.97,4064.5,,,99.79,2048,,,99.22,4096,12.55,,99.15,4096,13.65,,9.26,9.35,6.98,0.26,0.27,0.2,0.21,0.19,0.1,2.4,2.4,1.83,2.34,2.32,1.74
1G,passthrough.bal,default,100,50,30,2878726,0,0,31.19080871,30,271,32,32,32,3198.403202,577.8365159,734.0085472,99.91,1023,,,99.98,3925.5,,,99.83,2048,,,99.81,4096,13.45,,99.8,4096,14.6,,1.72,1.65,2.02,0,0,0,0,0.01,0.14,0.86,0.43,0.43,0.18,0.23,0.38
1G,passthrough.bal,default,100,50,500,179399,0,0,501.5584089,500,709,502,502,504,199.2522999,35.99772996,45.72684617,99.99,1016,,,0,3925.5,,,99.06,2048,,,99.97,4096,11.05,,99.96,4096,11.2,,0.09,0.11,0.55,0,0,0,0,0,0.05,0,0,0.07,0.05,0.04,0.1
1G,passthrough.bal,default,100,50,1000,89842,0,0,1001.527827,1000,1209,1002,1002,1003,99.74531316,18.02039349,22.89077011,99.99,1003.5,,,0,3925.5,,,98.21,2048,,,99.98,4096,9773.5,,99.98,4096,9787,,0.05,0.05,0.16,0,0,0,0,0,0,0.05,0.01,0,0,0,0
1G,passthrough.bal,default,100,1024,0,14654739,0,0,6.047857557,0,270,13,19,32.99,16282.75386,18461.20829,19256.26458,99.57,1022.5,,,99.97,4088,,,99.81,2048,,,99.24,4096,9666,,99.13,4096,14.1,,9.27,8.69,6.31,0.16,0.13,0.08,0.12,0.16,0.1,2.28,2.94,2.06,2.88,3.39,2.45
1G,passthrough.bal,default,100,1024,30,2872876,0,0,31.25165827,30,267,32,32,33,3191.992231,3619.045906,3774.904875,99.91,1023,,,99.98,3925.5,,,99.79,2048,,,99.83,4096,9361,,99.82,4096,9860,,0.98,1.25,1.68,0,0,0,0.08,0.04,0.17,0.16,0.24,0.4,0.05,0.19,0.45
1G,passthrough.bal,default,100,1024,500,179379,0,0,501.6097648,500,709,502,502,503,199.2227847,225.8766143,235.6042893,99.99,1016.5,,,0,3925.5,,,99.04,2048,,,99.96,4096,11.4,,99.96,4096,11.65,,0.08,0.11,0.42,0,0,0,0,0,0.06,0,0.01,0.09,0,0,0.08
1G,passthrough.bal,default,100,1024,1000,89842,0,0,1001.65761,1000,4350,1002,1002,1003,99.7152009,113.0560041,117.9249104,99.99,1003.5,,,0,3925.5,,,96.38,2048,,,99.98,4096,10185,,99.98,4096,10070,,0.04,0.03,0.11,0,0,0,0,0,0,0,0.01,0.01,0.33,0.11,0.05
1G,passthrough.bal,default,100,10240,0,6586348,0,0,13.58271913,1,496,16,17,36,7319.010197,74356.56351,74533.8265,99.78,1023,,,99.97,4095,,,99.84,2048,,,99.62,4096,11.7,,99.59,4096,12.1,,4.24,4.7,3.64,0.12,0.1,0.08,0.03,0.04,0.01,0.62,0.77,0.56,0.98,0.82,0.59
1G,passthrough.bal,default,100,10240,30,2850502,0,0,31.48342432,30,254,32,32,34,3167.460244,32178.84268,32256.12835,99.91,1023,,,99.97,4064.5,,,99.83,2048,,,99.82,4096,11.2,,99.82,4096,11.1,,1.38,1.47,1.77,0.14,0.19,0.16,0.04,0.04,0.09,0.22,0.25,0.27,0.07,0.16,0.27
