use case,size,heap,user,collector,average_latency,min_latency,max_latency,percentile_90,percentile_95,percentile_99,throughput,error_rate,footprint,avgfootprintAfterFullGC,avgFreedMemoryByFullGC,avgfootprintAfterGC,avgFreedMemoryByGC,avgPause,minPause,maxPause,avgGCPause,avgFullGCPause,accumPause,fullGCPause,gcPause,gc_throughput,num_full_gc,num_minor_gc,freedMemoryPerMin,gcPerformance,fullGCPerformance,last_one_minutes_la,last_five_minutes_la,last_fifteen_minutes_la
Merge,50,100m,1000,UseSerialGC,62.60755629,0,4004,89,108,193,14335.21746,1.110996751,96.688,55.563,37.189,61.506,26.664,0.00433,0.0028,0.10812,0.00418,0.08164,371.7,14.04,357.66,89.62,172,85630,38364.29,6383.822,455.497,8.17,7.2,7.06
Merge,50,100m,1000,UseParallelGC,60.95962574,0,3843,131,222,541,14716.67499,1.296408542,99.5,53.888,14.709,60.673,31.84,0.00305,0.00186,0.25107,0.00284,0.05787,224.34,16.09,208.25,93.74,278,73218,39129.88,11194.635,254.165,7.32,7.85,7.81
Merge,50,100m,1000,UseG1GC,89.21688846,0,7104,131,178,287.99,10449.47144,2.699272235,100,NA,n.a.,57.162,17.934,0.00481,0.00056,0.04146,0.00481,n.a.,447.14,0,447.14,87.51,0,92998,27942.509,3729.895,n.a.,10.6,9.67,9.53
Merge,50,100m,1000,UseConcMarkSweepGC,63.22412864,0,4299,83,105,142,14307.3749,1.271542882,96.688,53.023,37.558,58.391,26.473,0.00258,0.00106,0.13699,0.00257,0.11389,221.23,0.46,220.78,93.82,4,85876,38093.566,10297.297,329.785,7.76,8.01,8.02
Merge,50,100m,500,UseSerialGC,33.13564654,0,1050,40,43,57,15027.51732,0,96.688,46.507,39.674,57.545,26.676,0.00374,0.00281,0.1095,0.0037,0.07813,339.5,3.98,335.52,90.52,51,90634,40534.475,7206.085,507.791,9.53,8.48,8.17
Merge,50,100m,500,UseParallelGC,32.27667443,0,332,42,45,64.99,15429.48596,0,99.5,45.514,20.888,56.761,31.939,0.00268,0.00207,0.22659,0.0026,0.0551,205.92,6.56,199.37,94.25,119,76784,41123.28,12301.246,379.114,6.76,7.59,7.85
Merge,50,100m,500,UseG1GC,43.17189596,0,1218,58,65,97,11553.9294,0,100,31,68,47.287,25.204,0.00401,0.00053,0.08454,0.00401,0.08454,295.69,0.08,295.6,91.74,1,73790,31161.888,6291.64,804.343,10.26,10.7,10.67
Merge,50,100m,500,UseConcMarkSweepGC,34.1061747,0,373,42,46,74,14610.35748,0,96.688,NA,n.a.,53.88,26.631,0.00227,0.00108,0.0522,0.00227,n.a.,200.74,0,200.74,94.39,0,88576,39524.865,11751.24,n.a.,8.02,8.04,8.08
Merge,50,100m,200,UseSerialGC,13.09806066,0,274,18,21,31.99,15199.25765,0,96.688,39.048,29.843,54.347,26.681,0.00334,0.00257,0.0924,0.00333,0.07142,306.64,1.71,304.93,91.44,24,91686,40998.019,8022.384,417.844,7.65,7.49,7.7
Merge,50,100m,200,UseParallelGC,13.10249271,0,371,20,24,39,15194.07594,0,99.5,39.671,26.333,53.984,31.954,0.00242,0.00193,0.16163,0.00237,0.05211,187.16,4.33,182.83,94.77,83,77235,41389.604,13498.885,505.302,8.09,7.83,7.75
Merge,50,100m,200,UseG1GC,17.26266328,0,459,27,42,109,11551.72494,0,100,NA,n.a.,42.299,27.055,0.00367,0.00051,0.03254,0.00367,n.a.,254.69,0,254.69,92.89,0,69366,31444.245,7368.438,n.a.,8.25,8.79,9
Merge,50,100m,200,UseConcMarkSweepGC,13.06311352,0,366,20,25,37,15238.2007,0,96.688,NA,n.a.,51.372,26.659,0.00189,0.00094,0.03547,0.00189,n.a.,173.63,0,173.63,95.15,0,91709,40964.465,14081.195,n.a.,7.18,7.52,7.73
Merge,50,100m,100,UseSerialGC,6.530213903,0,174,11,14,31,15218.60513,0,96.688,28.385,35.723,49.033,26.682,0.00276,0.00217,0.08779,0.00275,0.06703,254.87,0.94,253.93,92.94,14,92332,40928.866,9701.851,532.964,7.15,7.68,7.64
Merge,50,100m,100,UseParallelGC,6.886277528,0,187,11,14,25,14431.39214,0,99.5,29.124,36.259,48.596,31.957,0.00213,0.00168,0.17014,0.00209,0.05133,155.52,2.87,152.64,95.66,56,73017,39130.624,15286.471,706.452,7.66,7.09,6.91
Merge,50,100m,100,UseG1GC,7.439800223,0,210,13,16,43,13368.50388,0,100,NA,n.a.,39.826,47.68,0.00254,0.00052,0.0341,0.00254,n.a.,116.02,0,116.02,96.76,0,45611,36436.557,18744.106,n.a.,7.41,7.3,7.19
Merge,50,100m,100,UseConcMarkSweepGC,7.073495316,0,206,12,15,39,14062.8696,0,96.688,NA,n.a.,45.713,26.668,0.00168,0.00096,0.031,0.00168,n.a.,143.74,0,143.74,95.99,0,85397,38160.013,15843.608,n.a.,7.29,7.12,6.99
Merge,50,100m,50,UseSerialGC,3.531463442,0,117,7,9,23,14041.57716,0,96.688,14.94,17.015,40.409,26.687,0.00293,0.00229,0.05384,0.00293,0.04168,249.95,0.08,249.87,93.02,2,85226,38100.209,9102.334,408.261,7.74,7.37,7.2
Merge,50,100m,50,UseParallelGC,3.583775987,0,152,7,11,21.99,13834.19664,0,99.5,23.188,41.264,46.516,31.958,0.00202,0.00154,0.12199,0.00199,0.04918,141.93,1.87,140.06,96.04,38,70217,37625.045,16021.743,838.995,6.25,6.03,6.3
Merge,50,100m,50,UseG1GC,3.881028837,0,147,7,10,34.99,12788.50439,0,100,NA,n.a.,36.9,50.522,0.00236,0.00054,0.02555,0.00236,n.a.,97.71,0,97.71,97.27,0,41479,35110.883,21446.526,n.a.,6.56,6.83,6.95
Merge,50,100m,50,UseConcMarkSweepGC,3.655871886,0,138,7,10,24,13562.99825,0,96.688,NA,n.a.,42.698,26.671,0.00151,0.00087,0.02258,0.00151,n.a.,123.7,0,123.7,96.55,0,82104,36689.676,17702.927,n.a.,5.92,6.22,6.35
Merge,50,100m,1,UseSerialGC,0.2471594709,0,5,1,1,1,3715.876828,0,96.688,13.079,8003,28.238,26.685,0.0028,0.00154,0.05348,0.0028,0.03941,62.92,0.08,62.84,98.24,2,22448,10036.766,9532.161,198.334,0.69,0.76,0.82
Merge,50,100m,1,UseParallelGC,0.2416583769,0,999,1,1,1,3810.58676,0,99.5,11.908,963.5,27.971,31.97,0.00178,0.00125,0.14987,0.00177,0.10434,34.28,0.21,34.07,99.04,2,19242,10307.769,18056.277,9234.451,0.81,0.76,0.75
Merge,50,100m,1,UseG1GC,0.2563723043,0,998,1,1,1,3580.014582,0,100,NA,n.a.,34.954,52.268,0.00199,0.00056,0.04037,0.00199,n.a.,22.2,0,22.2,99.38,0,11155,9768.686,26263.265,n.a.,0.6,0.72,0.75
Merge,50,100m,1,UseConcMarkSweepGC,0.2414898326,0,7,1,1,1,3810.800876,0,96.688,NA,n.a.,27.079,26.679,0.00144,0.00107,0.01628,0.00144,n.a.,33.25,0,33.25,99.07,0,23013,10287.488,18467.75,n.a.,0.91,0.79,0.73
Merge,50,200m,1000,UseSerialGC,59.25812152,0,3349,104,190,484.97,14823.82662,1.270673927,193.375,54.246,117.888,96.075,53.333,0.00514,0.00353,0.12259,0.00509,0.10213,227.81,2.55,225.26,93.64,25,44276,39618.152,10483.006,1154.265,8.66,8.48,8.27
Merge,50,200m,1000,UseParallelGC,59.78515667,0,4520,76,83,124,15005.05556,1.018356555,199.5,54.823,77.655,95.336,64.944,0.0033,0.00235,0.17637,0.00324,0.0656,121.61,2.36,119.25,96.6,36,36808,40102.357,20045.38,1183.825,8.07,8.04,8.26
Merge,50,200m,1000,UseG1GC,65.65942305,0,4057,85,98.95,157.99,13790.41926,1.352646187,200,NA,n.a.,78.282,97.107,0.00503,0.00071,0.0362,0.00503,n.a.,113.12,0,113.12,96.84,0,22500,36607.936,19314.68,n.a.,8.52,8.74,8.66
Merge,50,200m,1000,UseConcMarkSweepGC,61.32488656,0,3592,85,129,266.99,14604.11213,1.449215186,193.375,NA,n.a.,89.196,53.257,0.00307,0.00115,0.04459,0.00307,n.a.,133.74,0,133.74,96.27,0,43521,38836.972,17330.932,n.a.,8.9,8.7,8.56
