Dataset,ML_Model,MAE
TPCW,SVR - Linear,10.22055177
TPCW,SVR - Polynomial,2.985876112
TPCW,SVR - RBF,3.631714258
TPCW,RFR,1.477469354
TPCW,XGBoost,1.367158416
TPCW,Bayesian,2.14951805
APIM,SVR - Linear,147.6139278
APIM,SVR - Polynomial,134.4441881
APIM,SVR - RBF,118.6371256
APIM,RFR,82.99529505
APIM,XGBoost,29.62067402
APIM,Bayesian,20.06250268
Ballerina,SVR - Linear,472.0795229
Ballerina,SVR - Polynomial,477.9340471
Ballerina,SVR - RBF,443.4469272
Ballerina,RFR,235.1066394
Ballerina,XGBoost,72.21773171
Ballerina,Bayesian,265.0453793
Spring-Boot,SVR - Linear,58.06141776
Spring-Boot,SVR - Polynomial,17.19924181
Spring-Boot,SVR - RBF,18.34560497
Spring-Boot,RFR,20.51635887
Spring-Boot,XGBoost,17.78555662
Spring-Boot,Bayesian,31.73328519
