Dataset,ML_Model,MAPE
TPCW,SVR - Linear,49.47011841
TPCW,SVR - Polynomial,6.059680423
TPCW,SVR - RBF,8.685218259
TPCW,RFR,3.3678738
TPCW,XGBoost,3.481002189
TPCW,Bayesian,9.309843563
APIM,SVR - Linear,29.23526504
APIM,SVR - Polynomial,59.35879679
APIM,SVR - RBF,23.51830636
APIM,RFR,20.60778067
APIM,XGBoost,8.182598987
APIM,Bayesian,2.940001887
Ballerina,SVR - Linear,45.36883038
Ballerina,SVR - Polynomial,98.53698293
Ballerina,SVR - RBF,40.54323504
Ballerina,RFR,47.17934957
Ballerina,XGBoost,17.32668905
Ballerina,Bayesian,17.01137772
Spring-Boot,SVR - Linear,642.0199802
Spring-Boot,SVR - Polynomial,86.02232578
Spring-Boot,SVR - RBF,32.2058644
Spring-Boot,RFR,7.631792482
Spring-Boot,XGBoost,10.13623075
Spring-Boot,Bayesian,47.16590036
