Dataset,ML_Model,RMSE
TPCW,SVR - Linear,0.6130625736
TPCW,SVR - Polynomial,3.931104062
TPCW,SVR - RBF,0.7269968859
TPCW,RFR,2.119863858
TPCW,XGBoost,0.5664792866
TPCW,Bayesian,0.4233817261
APIM,SVR - Linear,1062.183244
APIM,SVR - Polynomial,1366.488232
APIM,SVR - RBF,1052.810969
APIM,RFR,351.6676124
APIM,XGBoost,202.9019626e
APIM,Bayesian,289.2803076
Ballerina,SVR - Linear,3680.987705
Ballerina,SVR - Polynomial,4065.648155
Ballerina,SVR - RBF,3690.007826
Ballerina,RFR,851.1314101
Ballerina,XGBoost,562.1989532
Ballerina,Bayesian,985.3402593
Spring-Boot,SVR - Linear,4059.370127
Spring-Boot,SVR - Polynomial,3960.798981
Spring-Boot,SVR - RBF,4034.159226
Spring-Boot,RFR,475.7013527
Spring-Boot,XGBoost,292.9805524
Spring-Boot,Bayesian,2655.720181
